DateTime,Hour,Session ID,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Source_File,Start_Time
2023-05-15 18:30:00,19,38,18:30-18:45,0.00,0.00,0.00,0.0,5000.0,May%202023.xlsx,18:30
2023-05-15 18:45:00,19,38,18:45-19:00,0.00,0.00,0.00,0.0,5000.0,May%202023.xlsx,18:45
2023-05-24 08:45:00,9,18,08:45-09:00,1858.40,7127.90,1822.48,1822.48,1999.45,May%202023.xlsx,08:45
2023-05-24 08:30:00,9,18,08:30-08:45,1884.80,7055.50,1865.54,1865.54,1999.35,May%202023.xlsx,08:30
2023-05-07 07:30:00,8,16,07:30-07:45,1929.90,4846.20,1926.62,1926.62,2500.22,May%202023.xlsx,07:30
2023-05-07 07:45:00,8,16,07:45-08:00,1961.90,5455.90,1960.30,1960.3,1999.09,May%202023.xlsx,07:45
2023-05-07 08:00:00,9,17,08:00-08:15,1974.60,5348.80,1958.20,1958.2,1979.59,May%202023.xlsx,08:00
2023-05-24 08:15:00,9,17,08:15-08:30,2009.60,6885.50,1990.43,1990.43,2319.59,May%202023.xlsx,08:15
2023-05-25 18:00:00,19,37,18:00-18:15,2036.70,4548.00,1792.20,1792.2,3949.87,May%202023.xlsx,18:00
2023-05-26 08:30:00,9,18,08:30-08:45,2074.60,9254.10,2066.43,2066.43,483.35,May%202023.xlsx,08:30
2023-05-07 08:15:00,9,17,08:15-08:30,2076.30,5477.70,2059.90,2059.9,1979.56,May%202023.xlsx,08:15
2023-05-26 08:45:00,9,18,08:45-09:00,2080.70,9400.60,2072.49,2072.49,489.03,May%202023.xlsx,08:45
2023-05-15 08:15:00,9,17,08:15-08:30,2123.70,4835.20,2086.50,2086.5,1880.0,May%202023.xlsx,08:15
2023-05-25 18:15:00,19,37,18:15-18:30,2157.10,4342.40,1822.20,1822.2,4486.21,May%202023.xlsx,18:15
2023-05-10 08:15:00,9,17,08:15-08:30,2160.80,4587.90,2158.20,2158.2,1999.96,May%202023.xlsx,08:15
2023-05-10 08:00:00,9,17,08:00-08:15,2164.90,4804.50,2162.30,2162.3,1998.98,May%202023.xlsx,08:00
2023-05-08 07:45:00,8,16,07:45-08:00,2209.60,5790.60,2207.60,2207.6,1859.84,May%202023.xlsx,07:45
2023-05-22 07:45:00,8,16,07:45-08:00,2228.10,7184.20,2188.66,2188.66,1497.59,May%202023.xlsx,07:45
2023-05-08 07:30:00,8,16,07:30-07:45,2247.50,4760.80,2198.10,2198.1,2730.09,May%202023.xlsx,07:30
2023-05-07 07:15:00,8,15,07:15-07:30,2263.70,5377.90,2062.37,2062.37,2730.65,May%202023.xlsx,07:15
2023-05-15 08:00:00,9,17,08:00-08:15,2264.50,5010.40,2244.23,2244.24,999.91,May%202023.xlsx,08:00
2023-05-24 08:00:00,9,17,08:00-08:15,2269.40,6700.40,2228.09,2228.1,2499.65,May%202023.xlsx,08:00
2023-05-31 08:00:00,9,17,08:00-08:15,2283.20,7113.00,2197.37,2197.37,2419.4,May%202023.xlsx,08:00
2023-05-22 07:30:00,8,16,07:30-07:45,2309.70,7073.00,2255.71,2255.72,1999.5,May%202023.xlsx,07:30
2023-05-07 08:30:00,9,18,08:30-08:45,2319.40,5698.30,2308.00,2308.0,1499.84,May%202023.xlsx,08:30
2023-05-04 07:45:00,8,16,07:45-08:00,2321.00,4084.30,1547.80,1547.8,3029.11,May%202023.xlsx,07:45
2023-05-10 07:45:00,8,16,07:45-08:00,2336.30,4034.50,2205.33,2205.33,2499.36,May%202023.xlsx,07:45
2023-05-31 08:15:00,9,17,08:15-08:30,2353.00,7333.60,2265.18,2265.18,2419.36,May%202023.xlsx,08:15
